Review,Overall_Rating,Cleanliness_Rating,Staff_Rating,Food_Rating,WiFi_Rating,CheckIn_Rating,Guest_Type,Room_Type,Price,Stay_Date
Very rude staff at the reception. Check-in took forever. Reception lost my booking.,1,2,1,1,2,1,Family,Deluxe,215,2026-06-28
Decent hotel for the price. Location is good.,3,4,4,2,4,3,Family,Deluxe,182,2026-02-18
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,5,5,5,Couple,Deluxe,206,2025-09-26
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,5,4,3,4,Family,Suite,317,2026-07-19
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,4,3,2,3,Business,Deluxe,179,2026-03-03
Way overpriced for what you get. The bed was uncomfortable and noisy. Unfriendly check-in staff.,2,3,3,2,1,2,Solo,Standard,148,2026-05-30
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,3,5,5,2,5,Business,Standard,131,2026-01-15
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,3,5,3,4,Solo,Standard,127,2026-02-15
The food gave me food poisoning. Never eating here again.,1,1,1,1,2,1,Solo,Suite,294,2025-10-10
Decent hotel for the price. Location is good.,3,3,2,4,4,3,Couple,Deluxe,220,2025-09-17
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,2,3,1,4,Solo,Suite,294,2025-08-10
It was okay. Nothing special but no major issues either.,3,4,2,4,2,4,Couple,Suite,302,2026-05-08
Check-in was a breeze. Room was comfortable and clean.,4,4,5,5,4,4,Family,Deluxe,215,2026-02-17
Check-in was a breeze. Room was comfortable and clean.,4,5,4,4,2,5,Business,Suite,307,2025-11-12
It was okay. Nothing special but no major issues either.,3,4,2,4,2,3,Couple,Suite,321,2025-11-07
Decent hotel for the price. Location is good.,4,4,3,4,3,4,Solo,Standard,129,2026-06-07
The food gave me food poisoning. Never eating here again. Unfriendly check-in staff.,2,1,2,2,1,2,Solo,Suite,290,2026-07-09
Very rude staff at the reception. Check-in took forever. Found hair on the bed sheets.,2,2,1,2,2,1,Family,Deluxe,177,2026-05-20
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,3,5,Solo,Deluxe,181,2026-04-06
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,5,3,4,3,Couple,Standard,142,2025-10-07
Met my expectations. Cleanliness was acceptable.,4,4,4,3,4,4,Family,Deluxe,222,2026-02-27
"Average stay. The room was fine, but the food could be better.",3,2,4,2,2,3,Solo,Deluxe,164,2025-12-17
Decent hotel for the price. Location is good.,3,2,3,4,4,4,Family,Suite,345,2025-09-25
Met my expectations. Cleanliness was acceptable.,3,3,4,2,4,4,Business,Deluxe,187,2026-03-04
The food gave me food poisoning. Never eating here again.,1,1,1,1,1,1,Business,Suite,336,2025-09-28
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,4,4,4,Family,Standard,106,2025-08-29
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,4,5,5,5,Couple,Suite,314,2026-04-19
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,5,4,4,4,Business,Standard,98,2026-07-29
Check-in was a breeze. Room was comfortable and clean.,5,4,5,5,5,5,Couple,Standard,133,2026-02-07
Check-in was a breeze. Room was comfortable and clean.,4,5,5,4,4,4,Solo,Standard,142,2026-01-13
Check-in was a breeze. Room was comfortable and clean.,4,5,5,5,4,3,Business,Suite,348,2026-02-18
Check-in was a breeze. Room was comfortable and clean.,4,4,4,4,4,5,Family,Deluxe,176,2026-05-15
Amazing stay! The staff was incredibly friendly and the room was spotless.,3,3,5,4,2,3,Solo,Deluxe,180,2026-03-12
Perfect location and great amenities. Will definitely come back.,5,5,4,5,5,4,Solo,Standard,115,2025-09-15
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,5,3,2,4,Couple,Deluxe,199,2026-07-23
Amazing stay! The staff was incredibly friendly and the room was spotless.,3,3,3,4,2,3,Family,Deluxe,188,2026-04-21
It was okay. Nothing special but no major issues either.,3,4,3,2,4,4,Solo,Standard,96,2026-03-31
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,4,4,5,5,Business,Standard,118,2025-10-08
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,5,3,3,4,Solo,Standard,124,2025-11-16
Perfect location and great amenities. Will definitely come back.,4,4,4,4,3,5,Family,Deluxe,209,2026-01-25
"Average stay. The room was fine, but the food could be better.",2,2,3,4,1,2,Solo,Deluxe,230,2026-06-02
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,3,5,5,3,5,Couple,Suite,330,2025-12-28
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,2,2,4,4,Business,Standard,89,2026-04-26
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,5,Business,Deluxe,182,2026-03-28
Amazing stay! The staff was incredibly friendly and the room was spotless.,3,4,3,3,2,4,Business,Standard,144,2025-12-23
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,4,5,Solo,Deluxe,170,2026-01-04
Perfect location and great amenities. Will definitely come back.,4,5,4,4,2,4,Business,Suite,335,2025-11-29
It was okay. Nothing special but no major issues either.,2,3,2,3,1,3,Business,Standard,102,2025-09-29
"Average stay. The room was fine, but the food could be better.",3,4,2,2,4,3,Business,Suite,346,2026-04-20
Very rude staff at the reception. Check-in took forever.,2,2,3,1,1,2,Couple,Standard,134,2025-12-16
Check-in was a breeze. Room was comfortable and clean.,4,4,5,4,2,4,Business,Deluxe,181,2026-02-03
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,3,3,5,Family,Deluxe,225,2025-07-31
"Average stay. The room was fine, but the food could be better.",3,2,3,3,4,2,Business,Standard,102,2025-08-17
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,4,Solo,Standard,127,2025-09-29
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,4,3,5,4,Business,Standard,119,2026-01-13
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,4,5,5,5,Business,Suite,311,2026-03-24
Perfect location and great amenities. Will definitely come back.,4,5,5,4,4,4,Couple,Suite,332,2025-08-11
Terrible experience. The room was dirty and smelled bad.,2,1,3,2,2,1,Family,Suite,306,2026-04-27
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,2,4,3,2,Family,Deluxe,165,2025-11-25
Decent hotel for the price. Location is good.,3,3,4,2,1,4,Solo,Suite,297,2026-06-21
Check-in was a breeze. Room was comfortable and clean.,4,5,3,3,4,4,Solo,Standard,120,2026-02-16
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,4,4,5,Couple,Deluxe,173,2025-10-17
Check-in was a breeze. Room was comfortable and clean.,5,5,5,4,5,4,Business,Standard,137,2026-01-03
Amazing stay! The staff was incredibly friendly and the room was spotless.,3,3,5,4,2,3,Solo,Deluxe,201,2025-10-13
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,5,3,4,4,Business,Suite,302,2025-08-14
Met my expectations. Cleanliness was acceptable.,3,4,4,2,1,3,Solo,Deluxe,173,2025-10-09
It was okay. Nothing special but no major issues either.,3,2,2,2,4,3,Business,Standard,90,2026-05-24
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,5,4,3,3,Couple,Standard,122,2025-09-30
Very rude staff at the reception. Check-in took forever.,1,1,2,1,2,1,Business,Deluxe,208,2026-07-14
Decent hotel for the price. Location is good.,3,2,2,3,3,3,Solo,Standard,99,2025-08-16
Check-in was a breeze. Room was comfortable and clean.,4,5,5,5,3,4,Family,Suite,315,2026-02-11
"Average stay. The room was fine, but the food could be better.",3,4,4,2,1,3,Family,Deluxe,205,2026-04-01
Check-in was a breeze. Room was comfortable and clean.,5,5,4,4,5,5,Solo,Deluxe,188,2025-08-14
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,4,4,4,Couple,Standard,111,2026-07-01
Perfect location and great amenities. Will definitely come back.,4,5,4,4,3,3,Family,Deluxe,190,2026-05-29
Decent hotel for the price. Location is good.,3,4,2,4,3,4,Couple,Suite,298,2026-05-14
Perfect location and great amenities. Will definitely come back.,4,5,4,4,3,4,Family,Deluxe,188,2025-08-09
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,4,5,4,5,Solo,Standard,87,2025-08-10
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,4,3,4,5,Family,Suite,330,2026-05-26
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,4,4,5,5,5,Business,Deluxe,222,2026-06-27
Very rude staff at the reception. Check-in took forever. Hidden fees on the bill.,2,2,2,3,2,1,Couple,Standard,102,2025-07-30
It was okay. Nothing special but no major issues either.,3,2,4,3,2,4,Solo,Suite,293,2026-04-10
Perfect location and great amenities. Will definitely come back.,4,4,4,3,2,5,Family,Deluxe,202,2026-03-15
Perfect location and great amenities. Will definitely come back.,4,5,3,4,4,3,Business,Deluxe,160,2025-08-23
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,5,Solo,Deluxe,208,2025-09-19
Perfect location and great amenities. Will definitely come back.,3,4,3,3,4,3,Solo,Suite,320,2025-12-10
Perfect location and great amenities. Will definitely come back.,4,5,4,5,3,5,Business,Standard,91,2026-01-19
Check-in was a breeze. Room was comfortable and clean.,4,5,3,5,5,3,Solo,Suite,286,2025-09-19
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,4,5,Couple,Standard,116,2025-12-29
It was okay. Nothing special but no major issues either.,3,3,4,4,4,2,Family,Standard,86,2026-01-30
It was okay. Nothing special but no major issues either.,3,3,4,4,4,2,Business,Deluxe,172,2025-08-12
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,4,5,5,5,Family,Standard,142,2026-07-03
Perfect location and great amenities. Will definitely come back.,5,5,5,5,4,5,Couple,Standard,85,2025-12-11
Decent hotel for the price. Location is good.,2,2,3,4,1,2,Solo,Deluxe,172,2025-09-11
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,4,5,5,Couple,Suite,333,2026-04-30
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Unfriendly check-in staff.,1,1,2,2,1,1,Solo,Suite,337,2025-10-26
"Average stay. The room was fine, but the food could be better.",2,2,2,3,1,4,Family,Standard,135,2025-11-10
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,4,4,5,5,Family,Suite,330,2026-05-08
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,5,4,Couple,Deluxe,213,2025-10-14
Met my expectations. Cleanliness was acceptable.,2,4,2,2,1,3,Family,Suite,348,2026-01-22
Check-in was a breeze. Room was comfortable and clean.,4,5,5,5,3,4,Solo,Deluxe,195,2026-02-21
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,4,4,Family,Suite,340,2025-12-14
The food gave me food poisoning. Never eating here again. Overpriced minibar.,2,3,3,1,1,1,Couple,Standard,118,2026-03-13
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,4,4,5,4,Couple,Deluxe,212,2026-04-04
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,5,5,5,3,Couple,Standard,147,2026-05-17
"Average stay. The room was fine, but the food could be better.",2,2,2,2,1,3,Business,Standard,86,2026-01-30
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,3,5,Family,Deluxe,163,2025-11-30
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,5,Couple,Deluxe,180,2025-12-09
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Not worth the money.,1,1,1,2,1,2,Business,Deluxe,186,2025-12-14
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,3,5,3,5,Solo,Suite,281,2025-11-21
The food gave me food poisoning. Never eating here again. Reception lost my booking.,2,2,2,1,3,2,Couple,Suite,346,2026-06-14
Terrible experience. The room was dirty and smelled bad. Bed was too hard.,2,2,2,2,1,1,Solo,Suite,293,2026-04-02
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,5,5,4,Business,Deluxe,179,2026-04-20
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,5,3,5,Family,Standard,143,2025-12-28
Check-in was a breeze. Room was comfortable and clean.,5,5,4,5,4,5,Couple,Deluxe,188,2026-07-16
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,4,5,4,5,Solo,Suite,292,2026-03-28
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,5,5,3,4,Family,Suite,325,2025-11-21
Decent hotel for the price. Location is good.,3,3,3,4,3,3,Couple,Deluxe,175,2026-03-27
Check-in was a breeze. Room was comfortable and clean.,4,3,5,3,5,5,Business,Suite,318,2026-02-26
Perfect location and great amenities. Will definitely come back.,4,4,4,5,5,3,Business,Standard,120,2025-10-30
Decent hotel for the price. Location is good.,2,4,2,3,1,2,Business,Deluxe,217,2025-12-17
Check-in was a breeze. Room was comfortable and clean.,4,3,3,5,5,5,Family,Standard,134,2026-02-21
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,2,4,2,4,Solo,Deluxe,207,2025-08-06
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,3,5,3,3,Couple,Suite,324,2026-01-05
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,4,3,4,Family,Standard,118,2025-12-25
Met my expectations. Cleanliness was acceptable.,4,4,4,3,4,4,Solo,Suite,297,2026-01-21
"Average stay. The room was fine, but the food could be better.",2,2,3,2,2,2,Solo,Deluxe,176,2025-11-15
Terrible experience. The room was dirty and smelled bad. AC was broken.,1,1,2,1,1,2,Business,Suite,286,2026-07-03
It was okay. Nothing special but no major issues either.,3,2,4,2,4,3,Business,Suite,328,2025-10-01
"Average stay. The room was fine, but the food could be better.",3,2,4,4,1,3,Couple,Deluxe,213,2026-07-03
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,4,5,4,Business,Suite,345,2026-06-11
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,3,5,3,4,Business,Deluxe,226,2025-11-10
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,2,2,4,2,Couple,Suite,341,2026-01-15
It was okay. Nothing special but no major issues either.,3,4,2,2,4,2,Family,Standard,91,2026-04-17
The food gave me food poisoning. Never eating here again. Reception lost my booking.,1,1,1,1,1,1,Business,Suite,285,2025-12-25
Check-in was a breeze. Room was comfortable and clean.,4,5,4,4,3,4,Couple,Suite,297,2026-07-04
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,3,5,Family,Deluxe,203,2025-10-31
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,3,3,4,3,Business,Deluxe,181,2025-09-25
Perfect location and great amenities. Will definitely come back.,4,3,4,5,5,5,Family,Suite,336,2025-10-30
Very rude staff at the reception. Check-in took forever. Waited an hour for check-in.,1,1,1,1,1,1,Solo,Deluxe,200,2025-08-05
Way overpriced for what you get. The bed was uncomfortable and noisy. Noisy neighbors and thin walls.,2,1,2,3,1,2,Family,Suite,324,2026-07-04
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,3,5,5,4,Solo,Standard,101,2025-09-06
"Average stay. The room was fine, but the food could be better.",3,3,3,2,2,4,Solo,Deluxe,208,2026-02-21
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,4,3,1,3,Family,Standard,137,2026-01-07
Amazing stay! The staff was incredibly friendly and the room was spotless.,3,4,4,3,2,3,Business,Deluxe,198,2026-04-16
The food gave me food poisoning. Never eating here again. Wi-Fi kept disconnecting.,3,2,2,3,3,3,Family,Suite,326,2026-03-18
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,4,5,4,5,Business,Standard,146,2026-02-06
"Average stay. The room was fine, but the food could be better.",3,3,2,4,4,2,Business,Standard,112,2026-06-07
Check-in was a breeze. Room was comfortable and clean.,3,3,4,3,4,3,Family,Standard,133,2025-08-22
Way overpriced for what you get. The bed was uncomfortable and noisy.,2,1,2,1,1,3,Business,Deluxe,215,2026-05-25
Excellent experience overall. Highly recommend this hotel to anyone.,3,3,5,3,2,4,Solo,Suite,321,2026-04-14
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,4,5,3,Solo,Deluxe,177,2026-02-26
Way overpriced for what you get. The bed was uncomfortable and noisy. Bathroom was not clean.,3,3,3,2,2,3,Couple,Suite,296,2026-07-28
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,5,5,Family,Suite,348,2025-12-23
Amazing stay! The staff was incredibly friendly and the room was spotless.,3,4,3,3,2,3,Solo,Standard,114,2025-10-20
Very rude staff at the reception. Check-in took forever.,2,3,2,1,1,2,Couple,Suite,337,2025-09-20
Very rude staff at the reception. Check-in took forever. Not worth the money.,2,2,3,3,1,2,Family,Suite,329,2026-02-28
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,4,3,5,3,Couple,Suite,327,2026-05-27
"Average stay. The room was fine, but the food could be better.",2,3,3,2,1,2,Family,Suite,302,2026-04-19
Check-in was a breeze. Room was comfortable and clean.,4,4,5,4,3,3,Business,Deluxe,192,2025-08-01
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,4,5,2,5,Couple,Deluxe,198,2026-04-07
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,4,5,3,5,Couple,Standard,100,2026-02-27
Decent hotel for the price. Location is good.,3,2,2,4,3,3,Solo,Standard,126,2025-12-27
Met my expectations. Cleanliness was acceptable.,3,3,4,4,1,2,Family,Suite,324,2026-03-15
Met my expectations. Cleanliness was acceptable.,3,4,2,2,3,3,Family,Suite,294,2026-02-12
Decent hotel for the price. Location is good.,3,2,4,3,4,3,Couple,Suite,285,2025-12-28
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,5,5,2,5,Family,Deluxe,168,2025-11-14
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,4,5,5,5,5,Family,Suite,289,2026-07-16
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,4,3,4,Family,Standard,112,2026-05-11
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,4,5,4,Business,Suite,320,2025-08-07
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,5,5,2,5,Solo,Suite,285,2026-07-23
The food gave me food poisoning. Never eating here again.,1,1,2,1,1,1,Business,Deluxe,208,2026-02-17
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,3,5,5,5,Business,Deluxe,197,2026-06-19
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,5,5,4,3,4,Family,Deluxe,160,2026-05-19
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,3,5,5,4,3,Solo,Suite,332,2026-06-25
"Average stay. The room was fine, but the food could be better.",3,2,4,3,2,2,Family,Standard,103,2026-07-08
"Wi-Fi was a bit spotty, but the staff was nice.",3,4,4,2,3,4,Business,Suite,288,2025-12-05
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,5,4,4,Business,Standard,116,2026-06-12
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,5,5,Business,Standard,99,2026-05-15
"Wi-Fi was a bit spotty, but the staff was nice.",2,2,2,3,2,2,Couple,Deluxe,215,2025-12-18
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,5,5,Couple,Standard,150,2025-09-23
Met my expectations. Cleanliness was acceptable.,2,2,3,2,2,3,Family,Suite,289,2025-09-06
It was okay. Nothing special but no major issues either.,3,4,4,3,2,2,Business,Suite,350,2025-12-10
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,3,5,4,3,Solo,Suite,339,2026-04-12
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,5,4,4,5,Business,Deluxe,177,2026-03-15
Wi-Fi didn't work at all. Completely unacceptable for a business trip.,1,1,1,1,1,1,Family,Standard,113,2026-02-04
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,4,4,5,3,Family,Standard,85,2026-06-27
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,5,4,5,Couple,Standard,128,2026-02-02
Decent hotel for the price. Location is good.,3,3,2,4,4,3,Business,Suite,324,2026-04-05
Way overpriced for what you get. The bed was uncomfortable and noisy.,1,1,1,1,1,2,Solo,Suite,315,2025-11-15
The food gave me food poisoning. Never eating here again. Hidden fees on the bill.,1,2,1,1,1,2,Family,Standard,94,2026-04-02
"Average stay. The room was fine, but the food could be better.",3,4,2,4,4,2,Solo,Deluxe,191,2025-08-21
Perfect location and great amenities. Will definitely come back.,4,5,5,3,3,3,Family,Suite,301,2025-12-09
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,4,5,4,Family,Suite,307,2026-03-16
"Average stay. The room was fine, but the food could be better.",3,2,3,4,2,4,Solo,Deluxe,183,2026-06-14
Check-in was a breeze. Room was comfortable and clean.,5,5,5,4,4,5,Couple,Standard,129,2025-10-05
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,4,3,5,Business,Standard,92,2025-10-28
Way overpriced for what you get. The bed was uncomfortable and noisy. Wi-Fi kept disconnecting.,1,1,2,1,1,2,Solo,Suite,335,2026-04-23
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,3,4,5,4,Solo,Deluxe,172,2026-03-04
Perfect location and great amenities. Will definitely come back.,5,4,5,5,5,5,Family,Deluxe,184,2025-08-01
Excellent experience overall. Highly recommend this hotel to anyone.,4,3,4,5,3,5,Business,Suite,320,2026-02-24
Check-in was a breeze. Room was comfortable and clean.,5,5,5,4,4,5,Couple,Standard,134,2026-05-15
Check-in was a breeze. Room was comfortable and clean.,5,4,5,5,5,4,Couple,Suite,327,2026-05-12
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,5,4,5,Solo,Deluxe,175,2025-11-24
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,5,4,4,5,Solo,Suite,286,2025-10-20
It was okay. Nothing special but no major issues either.,3,2,2,3,4,2,Solo,Suite,288,2025-12-11
It was okay. Nothing special but no major issues either.,3,4,2,4,4,3,Family,Deluxe,226,2025-12-23
Check-in was a breeze. Room was comfortable and clean.,4,4,4,5,5,4,Business,Standard,84,2026-06-01
Terrible experience. The room was dirty and smelled bad. AC was broken.,1,1,1,1,2,1,Family,Suite,330,2026-02-22
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,3,5,4,4,4,Family,Suite,315,2025-11-22
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,4,5,5,Family,Deluxe,173,2026-05-12
The food gave me food poisoning. Never eating here again.,3,3,2,3,2,3,Business,Suite,336,2026-02-08
Check-in was a breeze. Room was comfortable and clean.,5,5,5,5,3,5,Solo,Standard,94,2025-12-09
Very rude staff at the reception. Check-in took forever.,1,1,1,2,1,2,Business,Deluxe,193,2025-12-04
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,4,5,4,5,5,Couple,Standard,125,2025-11-18
Wi-Fi didn't work at all. Completely unacceptable for a business trip.,1,1,2,1,1,1,Couple,Standard,109,2025-11-10
Perfect location and great amenities. Will definitely come back.,4,4,4,4,5,5,Family,Suite,280,2026-05-03
Way overpriced for what you get. The bed was uncomfortable and noisy. Housekeeping ignored my requests.,2,2,1,3,2,2,Business,Deluxe,188,2026-05-21
Check-in was a breeze. Room was comfortable and clean.,5,5,4,5,5,5,Family,Standard,102,2026-03-21
The food gave me food poisoning. Never eating here again. Couldn't connect to Wi-Fi in my room.,2,1,2,3,1,2,Business,Suite,326,2026-06-08
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,5,Couple,Standard,103,2026-04-11
Loved the food and the Wi-Fi was super fast. Great for my business trip.,5,5,5,5,5,4,Solo,Standard,96,2026-05-20
Very rude staff at the reception. Check-in took forever. Overpriced minibar.,2,1,1,3,1,2,Family,Standard,81,2025-10-28
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,4,5,4,Solo,Deluxe,192,2026-05-13
It was okay. Nothing special but no major issues either.,3,4,2,2,2,3,Business,Deluxe,220,2026-06-17
Decent hotel for the price. Location is good.,3,3,3,3,3,3,Business,Deluxe,162,2026-02-25
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,5,5,3,4,Business,Deluxe,205,2026-01-12
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,3,4,3,3,Solo,Suite,298,2025-10-23
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,4,5,4,5,Couple,Deluxe,200,2026-06-29
Way overpriced for what you get. The bed was uncomfortable and noisy. Limited food options.,3,2,3,3,3,2,Couple,Suite,301,2025-11-01
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,5,5,2,3,Business,Standard,101,2026-02-18
Check-in was a breeze. Room was comfortable and clean.,4,5,3,3,5,5,Business,Standard,90,2025-09-21
Terrible experience. The room was dirty and smelled bad. Reception lost my booking.,1,1,1,2,1,1,Couple,Suite,296,2025-10-05
The food gave me food poisoning. Never eating here again.,1,1,1,1,1,2,Family,Standard,136,2025-10-07
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,5,5,5,Family,Suite,341,2026-05-02
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,3,3,3,2,Family,Standard,118,2025-08-04
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,4,5,2,5,Business,Suite,342,2026-03-31
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,4,4,5,4,Couple,Standard,132,2026-05-13
Perfect location and great amenities. Will definitely come back.,5,5,5,5,5,4,Solo,Deluxe,188,2025-12-11
Excellent experience overall. Highly recommend this hotel to anyone.,5,5,5,5,4,4,Business,Deluxe,228,2025-12-14
Perfect location and great amenities. Will definitely come back.,4,3,4,3,5,5,Solo,Standard,137,2025-12-16
Amazing stay! The staff was incredibly friendly and the room was spotless.,4,4,4,5,3,4,Solo,Standard,93,2025-12-21
Terrible experience. The room was dirty and smelled bad. Bathroom was not clean.,2,2,1,2,3,2,Couple,Standard,143,2026-02-05
The food gave me food poisoning. Never eating here again. Hidden fees on the bill.,1,1,1,1,1,2,Solo,Suite,340,2025-10-30
"Wi-Fi was a bit spotty, but the staff was nice.",3,2,2,4,2,3,Family,Deluxe,216,2025-12-03
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,4,5,5,Business,Standard,119,2026-01-11
Excellent experience overall. Highly recommend this hotel to anyone.,4,5,3,4,5,5,Family,Suite,318,2025-11-08
"Average stay. The room was fine, but the food could be better.",3,2,2,4,4,3,Couple,Standard,81,2025-10-23
It was okay. Nothing special but no major issues either.,2,3,2,2,1,4,Couple,Suite,340,2026-07-17
Perfect location and great amenities. Will definitely come back.,4,3,4,3,4,5,Family,Deluxe,167,2025-08-29
Way overpriced for what you get. The bed was uncomfortable and noisy.,1,1,1,1,1,2,Couple,Suite,324,2026-03-11
"Wi-Fi was a bit spotty, but the staff was nice.",3,3,4,2,3,2,Family,Standard,142,2026-07-26
Way overpriced for what you get. The bed was uncomfortable and noisy. Dusty room.,2,1,3,2,2,3,Solo,Suite,339,2025-12-17
Met my expectations. Cleanliness was acceptable.,3,2,3,3,3,4,Family,Standard,126,2026-03-19
Met my expectations. Cleanliness was acceptable.,3,3,4,2,1,4,Business,Suite,326,2026-06-12
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,3,5,5,5,Family,Deluxe,179,2026-06-08
The food gave me food poisoning. Never eating here again. Rude management.,1,1,1,1,1,1,Couple,Deluxe,185,2025-09-22
Terrible experience. The room was dirty and smelled bad. Overpriced minibar.,1,2,1,2,1,1,Solo,Standard,126,2025-11-20
Check-in was a breeze. Room was comfortable and clean.,4,3,4,5,2,4,Business,Standard,133,2026-02-03
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,5,4,5,4,Business,Suite,307,2026-04-21
Excellent experience overall. Highly recommend this hotel to anyone.,4,4,3,3,3,5,Business,Standard,102,2026-05-11
It was okay. Nothing special but no major issues either.,4,4,4,3,4,4,Solo,Suite,334,2025-09-21
